date,new_cases,new_cases_smoothed,total_cases,new_deaths,new_deaths_smoothed,total_deaths,hosp_patients,icu_patients,new_tests_smoothed,positive_rate,new_vaccinations_smoothed,people_fully_vaccinated_per_hundred,stringency_index
2020-03-23,0,135,1183,0,1.43,10,NA,NA,3493,0.04,NA,NA,73.15
2020-03-24,0,135,1183,0,1.43,10,1019,69,3558,0.04,NA,NA,73.15
2020-03-25,0,135,1183,0,1.43,10,1229,60,3628,0.04,NA,NA,73.15
2020-03-26,0,135,1183,0,1.43,10,1347,71,3710,0.04,NA,NA,73.15
2020-03-27,0,135,1183,0,1.43,10,1422,75,4125,0.04,NA,NA,78.7
2020-03-28,0,135,1183,0,1.43,10,1491,94,4317,0.04,NA,NA,78.7
2020-03-29,1137,162.43,2320,17,2.43,27,1540,97,4508,0.04,NA,NA,78.7
2020-03-30,0,162.43,2320,0,2.43,27,1608,90,4740,0.03,NA,NA,78.7
2020-03-31,0,162.43,2320,0,2.43,27,1589,93,5264,0.03,NA,NA,78.7
2020-04-01,0,162.43,2320,0,2.43,27,1705,96,5713,0.03,NA,NA,78.7
2020-04-02,0,162.43,2320,0,2.43,27,1672,93,6096,0.03,NA,NA,78.7
2020-04-03,0,162.43,2320,0,2.43,27,1721,87,6336,0.03,NA,NA,78.7
2020-04-04,0,162.43,2320,0,2.43,27,1730,87,6855,0.02,NA,NA,78.7
2020-04-05,1163,166.14,3483,30,4.29,57,1686,84,7379,0.02,NA,NA,78.7
2020-04-06,0,166.14,3483,0,4.29,57,1682,84,7413,0.02,NA,NA,78.7
2020-04-07,0,166.14,3483,0,4.29,57,1581,79,7777,0.02,NA,NA,78.7
2020-04-08,0,166.14,3483,0,4.29,57,1494,77,8016,0.02,NA,NA,78.7
2020-04-09,0,166.14,3483,0,4.29,57,1458,79,8225,0.02,NA,NA,78.7
2020-04-10,0,166.14,3483,0,4.29,57,1302,80,8502,0.02,NA,NA,73.15
2020-04-11,0,166.14,3483,0,4.29,57,1372,66,8572,0.02,NA,NA,73.15
2020-04-12,1047,149.57,4530,16,2.29,73,1362,62,8402,0.02,NA,NA,73.15
2020-04-13,0,149.57,4530,0,2.29,73,1311,61,8429,0.02,NA,NA,73.15
2020-04-14,0,149.57,4530,0,2.29,73,1260,54,8165,0.02,NA,NA,78.7
2020-04-15,0,149.57,4530,0,2.29,73,1243,52,8320,0.02,NA,NA,78.7
2020-04-16,0,149.57,4530,0,2.29,73,1226,48,8516,0.02,NA,NA,78.7
2020-04-17,0,149.57,4530,0,2.29,73,1225,48,8394,0.02,NA,NA,78.7
2020-04-18,0,149.57,4530,0,2.29,73,1194,49,8424,0.01,NA,NA,78.7
2020-04-19,775,110.71,5305,15,2.14,88,1183,47,8696,0.01,NA,NA,78.7
2020-04-20,0,110.71,5305,0,2.14,88,1142,47,9186,0.01,NA,NA,78.7
2020-04-21,0,110.71,5305,0,2.14,88,1091,45,9508,0.01,NA,NA,78.7
2020-04-22,0,110.71,5305,0,2.14,88,1044,42,9849,0.01,NA,NA,78.7
2020-04-23,0,110.71,5305,0,2.14,88,998,41,10326,0.01,NA,NA,78.7
2020-04-24,0,110.71,5305,0,2.14,88,984,40,11224,0.01,NA,NA,78.7
2020-04-25,0,110.71,5305,0,2.14,88,965,38,11840,0.01,NA,NA,78.7
2020-04-26,437,62.43,5742,10,1.43,98,944,38,11887,0,NA,NA,78.7
2020-04-27,0,62.43,5742,0,1.43,98,912,39,12320,0,NA,NA,78.7
2020-04-28,0,62.43,5742,0,1.43,98,865,36,12686,0,NA,NA,78.7
2020-04-29,0,62.43,5742,0,1.43,98,782,36,13013,0,NA,NA,78.7
2020-04-30,0,62.43,5742,0,1.43,98,758,29,12915,0,NA,NA,78.7
2020-05-01,0,62.43,5742,0,1.43,98,732,26,12689,0,NA,NA,78.7
2020-05-02,0,62.43,5742,0,1.43,98,747,26,12288,0,NA,NA,78.7
2020-05-03,434,62,6176,5,0.71,103,787,26,12730,0.01,NA,NA,78.7
2020-05-04,0,62,6176,0,0.71,103,772,25,12374,0.01,NA,NA,69.44
2020-05-05,0,62,6176,0,0.71,103,696,20,12140,0.01,NA,NA,69.44
2020-05-06,0,62,6176,0,0.71,103,648,17,11915,0.01,NA,NA,69.44
2020-05-07,0,62,6176,0,0.71,103,623,17,12156,0.01,NA,NA,69.44
2020-05-08,0,62,6176,0,0.71,103,617,17,11830,0.01,NA,NA,69.44
2020-05-09,0,62,6176,0,0.71,103,600,16,11725,0,NA,NA,69.44
2020-05-10,413,59,6589,5,0.71,108,601,14,11382,0,NA,NA,69.44
2020-05-11,0,59,6589,0,0.71,108,621,18,11379,0,NA,NA,69.44
2020-05-12,0,59,6589,0,0.71,108,609,16,11317,0,NA,NA,69.44
2020-05-13,0,59,6589,0,0.71,108,548,15,10965,0,NA,NA,69.44
2020-05-14,0,59,6589,0,0.71,108,541,13,10721,0,NA,NA,69.44
2020-05-15,0,59,6589,0,0.71,108,533,12,10703,0,NA,NA,69.44
2020-05-16,0,59,6589,0,0.71,108,485,13,10845,0,NA,NA,69.44
2020-05-17,283,40.43,6872,5,0.71,113,475,17,10674,0,NA,NA,69.44
2020-05-18,0,40.43,6872,0,0.71,113,457,23,10951,0,NA,NA,69.44
2020-05-19,0,40.43,6872,0,0.71,113,445,15,11021,0,NA,NA,69.44
2020-05-20,0,40.43,6872,0,0.71,113,447,11,11316,0,NA,NA,69.44
2020-05-21,0,40.43,6872,0,0.71,113,413,10,11230,0,NA,NA,69.44
2020-05-22,0,40.43,6872,0,0.71,113,408,10,11186,0,NA,NA,69.44
2020-05-23,0,40.43,6872,0,0.71,113,379,10,10998,0,NA,NA,75
2020-05-24,313,44.71,7185,2,0.29,115,389,10,10804,0,NA,NA,75
2020-05-25,0,44.71,7185,0,0.29,115,404,10,10232,0.01,NA,NA,75
2020-05-26,0,44.71,7185,0,0.29,115,414,10,9707,0.01,NA,NA,75
2020-05-27,0,44.71,7185,0,0.29,115,393,10,9096,0.01,NA,NA,75
2020-05-28,0,44.71,7185,0,0.29,115,300,10,9018,0.01,NA,NA,75
2020-05-29,0,44.71,7185,0,0.29,115,265,10,9275,0.01,NA,NA,75
2020-05-30,0,44.71,7185,0,0.29,115,325,10,9164,0.01,NA,NA,75
2020-05-31,577,82.43,7762,0,0,115,310,10,9313,0.01,NA,NA,75
2020-06-01,0,82.43,7762,0,0,115,337,9,9370,0.01,NA,NA,75
2020-06-02,0,82.43,7762,0,0,115,320,8,10065,0,NA,NA,75
2020-06-03,0,82.43,7762,0,0,115,282,8,10628,0,NA,NA,75
2020-06-04,0,82.43,7762,0,0,115,303,8,10708,0.01,NA,NA,75
2020-06-05,0,82.43,7762,0,0,115,322,7,10764,0.01,NA,NA,75
2020-06-06,0,82.43,7762,0,0,115,314,7,10971,0.01,NA,NA,75
2020-06-07,541,77.29,8303,2,0.29,117,312,7,10807,0.01,NA,NA,75
2020-06-08,0,77.29,8303,0,0.29,117,315,6,10602,0.01,NA,NA,75
2020-06-09,0,77.29,8303,0,0.29,117,309,6,9827,0.01,NA,NA,75
2020-06-10,0,77.29,8303,0,0.29,117,256,5,9148,0.01,NA,NA,57.41
2020-06-11,0,77.29,8303,0,0.29,117,226,5,9170,0,NA,NA,57.41
2020-06-12,0,77.29,8303,0,0.29,117,214,4,8261,0,NA,NA,57.41
2020-06-13,0,77.29,8303,0,0.29,117,211,4,7685,0,NA,NA,57.41
2020-06-14,142,20.29,8445,3,0.43,120,222,4,7449,0,NA,NA,57.41
2020-06-15,0,20.29,8445,0,0.43,120,227,4,7074,0,NA,NA,57.41
2020-06-16,0,20.29,8445,0,0.43,120,240,4,7023,0,NA,NA,57.41
2020-06-17,0,20.29,8445,0,0.43,120,227,4,6871,0,NA,NA,57.41
2020-06-18,0,20.29,8445,0,0.43,120,217,4,6069,0,NA,NA,57.41
2020-06-19,0,20.29,8445,0,0.43,120,208,3,5955,0,NA,NA,54.63
2020-06-20,0,20.29,8445,0,0.43,120,197,3,5801,0,NA,NA,54.63
2020-06-21,111,15.86,8556,1,0.14,121,191,3,5718,0,NA,NA,54.63
2020-06-22,0,15.86,8556,0,0.14,121,195,2,6034,0,NA,NA,54.63
2020-06-23,0,15.86,8556,0,0.14,121,187,3,6113,0,NA,NA,54.63
2020-06-24,0,15.86,8556,0,0.14,121,174,2,6271,0,NA,NA,50.93
2020-06-25,0,15.86,8556,0,0.14,121,140,2,6467,0,NA,NA,50.93
2020-06-26,0,15.86,8556,0,0.14,121,121,0,6613,0,NA,NA,50.93
2020-06-27,0,15.86,8556,0,0.14,121,116,2,6648,0,NA,NA,50.93
2020-06-28,60,8.57,8616,0,0,121,120,3,6519,0,NA,NA,50.93
2020-06-29,0,8.57,8616,0,0,121,108,3,6398,0,NA,NA,50.93
2020-06-30,0,8.57,8616,0,0,121,91,4,6548,0,NA,NA,50.93
2020-07-01,0,8.57,8616,0,0,121,73,5,6492,0,NA,NA,50.93
2020-07-02,0,8.57,8616,0,0,121,66,4,6573,0,NA,NA,50.93
2020-07-03,0,8.57,8616,0,0,121,70,2,6517,0,NA,NA,50.93
2020-07-04,0,8.57,8616,0,0,121,51,2,6596,0,NA,NA,50.93
2020-07-05,42,6,8658,0,0,121,58,2,6639,0,NA,NA,50.93
2020-07-06,0,6,8658,0,0,121,50,2,6678,0,NA,NA,50.93
2020-07-07,0,6,8658,0,0,121,48,2,6405,0,NA,NA,50.93
2020-07-08,0,6,8658,0,0,121,46,2,6363,0,NA,NA,50.93
2020-07-09,0,6,8658,0,0,121,47,2,6098,0,NA,NA,50.93
2020-07-10,0,6,8658,0,0,121,40,3,5929,0,NA,NA,50.93
2020-07-11,0,6,8658,0,0,121,39,2,5674,0,NA,NA,50.93
2020-07-12,46,6.57,8704,1,0.14,122,46,2,5601,0,NA,NA,50.93
2020-07-13,0,6.57,8704,0,0.14,122,50,3,5482,0,NA,NA,50.93
2020-07-14,0,6.57,8704,0,0.14,122,55,4,5478,0,NA,NA,50.93
2020-07-15,0,6.57,8704,0,0.14,122,56,3,5491,0,NA,NA,50.93
2020-07-16,0,6.57,8704,0,0.14,122,59,1,5440,0,NA,NA,50.93
2020-07-17,0,6.57,8704,0,0.14,122,58,1,5180,0,NA,NA,50.93
2020-07-18,0,6.57,8704,0,0.14,122,67,1,4979,0,NA,NA,50.93
2020-07-19,60,8.57,8764,0,0,122,65,1,4967,0,NA,NA,50.93
2020-07-20,0,8.57,8764,0,0,122,64,2,4748,0,NA,NA,50.93
2020-07-21,0,8.57,8764,0,0,122,84,2,4494,0,NA,NA,50.93
2020-07-22,0,8.57,8764,0,0,122,73,4,4173,0,NA,NA,47.22
2020-07-23,0,8.57,8764,0,0,122,76,5,4047,0,NA,NA,47.22
2020-07-24,0,8.57,8764,0,0,122,75,5,4182,0,NA,NA,47.22
2020-07-25,0,8.57,8764,0,0,122,73,2,4180,0,NA,NA,47.22
2020-07-26,120,17.14,8884,1,0.14,123,89,1,4291,0,NA,NA,47.22
2020-07-27,0,17.14,8884,0,0.14,123,58,0,4706,0,NA,NA,47.22
2020-07-28,0,17.14,8884,0,0.14,123,102,1,4751,0,NA,NA,47.22
2020-07-29,0,17.14,8884,0,0.14,123,109,2,5079,0,NA,NA,47.22
2020-07-30,0,17.14,8884,0,0.14,123,109,3,5386,0,NA,NA,47.22
2020-07-31,0,17.14,8884,0,0.14,123,102,3,5332,0,NA,NA,47.22
2020-08-01,0,17.14,8884,0,0.14,123,105,2,5507,0,NA,NA,47.22
2020-08-02,101,14.43,8985,2,0.29,125,114,2,5380,0,NA,NA,49.07
2020-08-03,0,14.43,8985,0,0.29,125,113,2,5578,0,NA,NA,64.81
2020-08-04,0,14.43,8985,0,0.29,125,107,0,5860,0,NA,NA,64.81
2020-08-05,0,14.43,8985,0,0.29,125,109,1,6021,0,NA,NA,64.81
2020-08-06,0,14.43,8985,0,0.29,125,106,2,6169,0,NA,NA,64.81
2020-08-07,0,14.43,8985,0,0.29,125,97,2,6643,0,NA,NA,64.81
2020-08-08,0,14.43,8985,0,0.29,125,103,2,6923,0,NA,NA,64.81
2020-08-09,85,12.14,9070,0,0,125,103,2,7274,0,NA,NA,64.81
2020-08-10,0,12.14,9070,0,0,125,83,1,7140,0,NA,NA,64.81
2020-08-11,0,12.14,9070,0,0,125,88,2,7282,0,NA,NA,64.81
2020-08-12,0,12.14,9070,0,0,125,96,1,7447,0,NA,NA,64.81
2020-08-13,0,12.14,9070,0,0,125,101,1,7543,0,NA,NA,64.81
2020-08-14,0,12.14,9070,0,0,125,115,4,7374,0,NA,NA,64.81
2020-08-15,0,12.14,9070,0,0,125,135,6,7210,0,NA,NA,64.81
2020-08-16,105,15,9175,0,0,125,135,7,6944,0,NA,NA,64.81
2020-08-17,0,15,9175,0,0,125,135,8,6857,0,NA,NA,64.81
2020-08-18,0,15,9175,0,0,125,130,8,6887,0,NA,NA,64.81
2020-08-19,0,15,9175,0,0,125,140,7,6744,0,NA,NA,64.81
2020-08-20,0,15,9175,0,0,125,138,8,6271,0,NA,NA,64.81
2020-08-21,0,15,9175,0,0,125,137,7,6176,0,NA,NA,64.81
2020-08-22,0,15,9175,0,0,125,141,8,6147,0,NA,NA,64.81
2020-08-23,82,11.71,9257,0,0,125,128,9,6295,0,NA,NA,64.81
2020-08-24,0,11.71,9257,0,0,125,139,8,6403,0,NA,NA,64.81
2020-08-25,0,11.71,9257,0,0,125,138,9,6497,0,NA,NA,64.81
2020-08-26,0,11.71,9257,0,0,125,138,9,6396,0,NA,NA,64.81
2020-08-27,0,11.71,9257,0,0,125,129,8,6756,0,NA,NA,64.81
2020-08-28,0,11.71,9257,0,0,125,119,8,6942,0,NA,NA,64.81
2020-08-29,0,11.71,9257,0,0,125,115,8,7479,0,NA,NA,64.81
2020-08-30,60,8.57,9317,0,0,125,107,7,8040,0,NA,NA,64.81
2020-08-31,0,8.57,9317,0,0,125,101,6,8349,0,NA,NA,64.81
2020-09-01,0,8.57,9317,0,0,125,89,5,8339,0,NA,NA,64.81
2020-09-02,0,8.57,9317,0,0,125,104,4,8525,0,NA,NA,64.81
2020-09-03,0,8.57,9317,0,0,125,103,4,8459,0,NA,NA,64.81
2020-09-04,0,8.57,9317,0,0,125,106,4,8307,0,NA,NA,64.81
2020-09-05,0,8.57,9317,0,0,125,100,5,7890,0,NA,NA,64.81
2020-09-06,74,10.57,9391,3,0.43,128,103,6,7354,0,NA,NA,64.81
2020-09-07,0,10.57,9391,0,0.43,128,104,6,6941,0,NA,NA,64.81
2020-09-08,0,10.57,9391,0,0.43,128,153,7,7020,0,NA,NA,64.81
2020-09-09,0,10.57,9391,0,0.43,128,245,7,6947,0,NA,NA,64.81
2020-09-10,0,10.57,9391,0,0.43,128,246,9,7462,0,NA,NA,64.81
2020-09-11,0,10.57,9391,0,0.43,128,245,9,7955,0.01,NA,NA,66.2
2020-09-12,0,10.57,9391,0,0.43,128,196,9,8204,0.01,NA,NA,66.2
2020-09-13,477,68.14,9868,0,0,128,213,9,8721,0.01,NA,NA,66.2
2020-09-14,0,68.14,9868,0,0,128,241,11,9506,0.01,NA,NA,66.2
2020-09-15,0,68.14,9868,0,0,128,254,15,9852,0.01,NA,NA,66.2
2020-09-16,0,68.14,9868,0,0,128,249,16,9731,0.01,NA,NA,66.2
2020-09-17,0,68.14,9868,0,0,128,267,12,9416,0.01,NA,NA,66.2
2020-09-18,0,68.14,9868,0,0,128,282,11,9354,0.01,NA,NA,66.2
2020-09-19,0,68.14,9868,0,0,128,263,12,9560,0,NA,NA,66.2
2020-09-20,299,42.71,10167,2,0.29,130,295,10,9413,0,NA,NA,66.2
2020-09-21,0,42.71,10167,0,0.29,130,272,9,9209,0.01,NA,NA,63.43
2020-09-22,0,42.71,10167,0,0.29,130,274,9,9336,0.01,NA,NA,63.43
2020-09-23,0,42.71,10167,0,0.29,130,262,10,9756,0.01,NA,NA,63.43
2020-09-24,0,42.71,10167,0,0.29,130,281,11,9866,0.01,NA,NA,52.78
2020-09-25,0,42.71,10167,0,0.29,130,279,6,10175,0.01,NA,NA,52.78
2020-09-26,0,42.71,10167,0,0.29,130,110,52,10101,0.01,NA,NA,52.78
2020-09-27,602,86,10769,3,0.43,133,75,8,9981,0.01,NA,NA,52.78
2020-09-28,0,86,10769,0,0.43,133,315,10,10378,0.01,NA,NA,52.78
2020-09-29,0,86,10769,0,0.43,133,326,9,10914,0.01,NA,NA,54.63
2020-09-30,0,86,10769,0,0.43,133,353,14,11475,0.01,NA,NA,54.63
2020-10-01,0,86,10769,0,0.43,133,371,16,12069,0.01,NA,NA,54.63
2020-10-02,0,86,10769,0,0.43,133,421,20,12358,0.01,NA,NA,54.63
2020-10-03,0,86,10769,0,0.43,133,487,24,13043,0.01,NA,NA,54.63
2020-10-04,1319,188.43,12088,4,0.57,137,537,29,13966,0.02,NA,NA,54.63
2020-10-05,0,188.43,12088,0,0.57,137,565,31,14407,0.02,NA,NA,54.63
2020-10-06,0,188.43,12088,0,0.57,137,632,54,14156,0.02,NA,NA,54.63
2020-10-07,0,188.43,12088,0,0.57,137,648,57,14656,0.03,NA,NA,54.63
2020-10-08,0,188.43,12088,0,0.57,137,997,60,15664,0.03,NA,NA,54.63
2020-10-09,0,188.43,12088,0,0.57,137,962,77,16521,0.03,NA,NA,60.19
2020-10-10,0,188.43,12088,0,0.57,137,1009,81,17233,0.02,NA,NA,60.19
2020-10-11,3008,429.71,15096,18,2.57,155,1087,90,17812,0.03,NA,NA,60.19
2020-10-12,0,429.71,15096,0,2.57,155,1139,91,18333,0.03,NA,NA,60.19
2020-10-13,0,429.71,15096,0,2.57,155,1099,91,19433,0.02,NA,NA,60.19
2020-10-14,0,429.71,15096,0,2.57,155,1135,92,20084,0.03,NA,NA,65.74
2020-10-15,0,429.71,15096,0,2.57,155,1234,115,20737,0.03,NA,NA,65.74
2020-10-16,0,429.71,15096,0,2.57,155,1243,115,21184,0.03,NA,NA,65.74
2020-10-17,0,429.71,15096,0,2.57,155,1292,116,21615,0.03,NA,NA,65.74
2020-10-18,4531,647.29,19627,25,3.57,180,1331,104,22290,0.03,NA,NA,65.74
2020-10-19,0,647.29,19627,0,3.57,180,1356,113,22473,0.03,NA,NA,65.74
2020-10-20,0,647.29,19627,0,3.57,180,1336,119,22407,0.03,NA,NA,65.74
2020-10-21,0,647.29,19627,0,3.57,180,1362,124,21967,0.04,NA,NA,65.74
2020-10-22,0,647.29,19627,0,3.57,180,1462,124,22275,0.04,NA,NA,65.74
2020-10-23,0,647.29,19627,0,3.57,180,1439,119,23116,0.04,NA,NA,62.04
2020-10-24,0,647.29,19627,0,3.57,180,1379,120,24269,0.04,NA,NA,62.04
2020-10-25,6115,873.57,25742,41,5.86,221,1381,116,24895,0.03,NA,NA,62.04
2020-10-26,0,873.57,25742,0,5.86,221,1509,117,26109,0.04,NA,NA,64.81
2020-10-27,0,873.57,25742,0,5.86,221,1567,114,27257,0.03,NA,NA,64.81
2020-10-28,0,873.57,25742,0,5.86,221,1676,120,30051,0.03,NA,NA,64.81
2020-10-29,0,873.57,25742,0,5.86,221,1761,123,31485,0.03,NA,NA,64.81
2020-10-30,0,873.57,25742,0,5.86,221,1738,115,31330,0.03,NA,NA,64.81
2020-10-31,0,873.57,25742,0,5.86,221,1601,112,30308,0.03,NA,NA,64.81
2020-11-01,5806,829.43,31548,28,4,249,1536,119,29761,0.03,NA,NA,64.81
2020-11-02,0,829.43,31548,0,4,249,1555,114,29069,0.03,NA,NA,64.81
2020-11-03,0,829.43,31548,0,4,249,1529,116,30019,0.03,NA,NA,78.24
2020-11-04,0,829.43,31548,0,4,249,1552,107,29200,0.03,NA,NA,78.24
2020-11-05,0,829.43,31548,0,4,249,1616,99,30122,0.03,NA,NA,78.24
2020-11-06,0,829.43,31548,0,4,249,1708,104,30997,0.03,NA,NA,78.24
2020-11-07,0,829.43,31548,0,4,249,1734,104,31230,0.04,NA,NA,78.24
2020-11-08,7809,1115.57,39357,33,4.71,282,1824,112,31027,0.04,NA,NA,78.24
2020-11-09,0,1115.57,39357,0,4.71,282,2064,106,31016,0.04,NA,NA,74.54
2020-11-10,0,1115.57,39357,0,4.71,282,2163,102,29593,0.04,NA,NA,80.09
2020-11-11,0,1115.57,39357,0,4.71,282,2160,112,29104,0.04,NA,NA,80.09
2020-11-12,0,1115.57,39357,0,4.71,282,2146,112,28274,0.04,NA,NA,80.09
2020-11-13,0,1115.57,39357,0,4.71,282,2072,115,28994,0.03,NA,NA,80.09
2020-11-14,0,1115.57,39357,0,4.71,282,2145,115,30126,0.03,NA,NA,80.09
2020-11-15,6852,978.86,46209,24,3.43,306,2279,117,30307,0.03,NA,NA,80.09
2020-11-16,0,978.86,46209,0,3.43,306,2351,121,29938,0.04,NA,NA,80.09
2020-11-17,0,978.86,46209,0,3.43,306,2346,123,30226,0.04,NA,NA,80.09
2020-11-18,0,978.86,46209,0,3.43,306,2641,118,30215,0.04,NA,NA,80.09
2020-11-19,0,978.86,46209,0,3.43,306,2681,129,28106,0.04,NA,NA,80.09
